Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Norway,Land area (sq. km),,,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365122.96,365108,365190.7,365145.73,365122.96,365107.85,365107.85,365107.85,365107.85
Nepal,Land area (sq. km),,,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350
Nauru,Land area (sq. km),,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
New Zealand,Land area (sq. km),,,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310
OECD members,Land area (sq. km),,,35512437,35512437,35512477,35512457,35512447,35512437,35512326,35512225,35512194,35512153,35514353,35514102,35514631,35515050,35514769,35514647,35514026,35514123,35499134.2,35500007.8,35501502.2,35501228,35496180.7,35497543.16,35498141.6,35497631.93,35507743.36,35507720.04,35511888.36,35511888.36,35511888.36,35511888.36
Oman,Land area (sq. km),,,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500
Other small states,Land area (sq. km),,,2039234,2039234,2039254,2039254,2032331,2032331,2032331,2032331,2032331,2032331,2032331,2032331,2032331,2032341,2030668,2030678,2030678,2030688,2030698,2030698,2030700,2030705,2030708,2031788,2031669,2031676,2031704,2031705,2032281,2032281,2032281,2032281
Pakistan,Land area (sq. km),,,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880
Panama,Land area (sq. km),,,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74120,74120,74120,74120,74177,74177,74177,74177
Peru,Land area (sq. km),,,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000
Philippines,Land area (sq. km),,,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170
Palau,Land area (sq. km),,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Papua New Guinea,Land area (sq. km),,,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860
Poland,Land area (sq. km),,,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306240,306330,306330,306320,306320,306300,306280,306280,306230,306220,306210,306190,306190,306190,306190,306170,306170,306170,306170
Pre-demographic dividend,Land area (sq. km),,,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20272964.27,20269914.27,20270624.27,20270879.27,20270879.59,20270689.95,20270645.63,20270647.42,20270524.3,20270522.03,20270500.84,20270500.84,20270500.84,20270500.84
Puerto Rico,Land area (sq. km),,,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870
"Korea, Dem. People's Rep.",Land area (sq. km),,,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410
Portugal,Land area (sq. km),,,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91470,91470,91470,91470,91590,91590,91590,91590,91605.2,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6
Paraguay,Land area (sq. km),,,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300
West Bank and Gaza,Land area (sq. km),,,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020
Pacific island small states,Land area (sq. km),,,62860,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200
Post-demographic dividend,Land area (sq. km),,,31355209,31355209,31355249,31355229,31355219,31355269,31355228,31355127,31355026,31354985,31357185,31356940,31354615,31355066,31354738,31354586,31354010.6,31354069.2,31339095.4,31339885.3,31341400.9,31341654.9,31336425.6,31334278.46,31335421.9,31335005.33,31345078.86,31344837.84,31348558.26,31348558.26,31348558.26,31348558.26
French Polynesia,Land area (sq. km),,,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3520,3520,3520,3520
Qatar,Land area (sq. km),,,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11490,11490,11490,11490,11490,11490,11490,11490
Romania,Land area (sq. km),,,229350,229460,229460,229460,229510,229490,229520,229530,229590,229600,229710,229710,229870,229950,230000,229980,229980,229890,229900,230060,230050,230170,230020,230030,230080,230080,230080,230080,230080,230080,230080,230080
Russian Federation,Land area (sq. km),,,16389950,16389950,16389950,16386180,16381330,16378380,16377960,16378650,16381300,16388510,16381340,16380440,16380940,16380980,16381230,16381390,16377740,16377740,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870
Rwanda,Land area (sq. km),,,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670
South Asia,Land area (sq. km),,,4779833,4779833,4779833,4779833,4772910,4772910,4772910,4772910,4772910,4772910,4773260,4773260,4773260,4773260,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4770760,4770787,4770787,4770754,4770754,4770754,4770754
Saudi Arabia,Land area (sq. km),,,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690
Sudan,Land area (sq. km),,,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,2481353.271,1849374.861,1849379.89,1849378.197,1849349.416,1849351.206,1849240.201,1849238.953,1849233.715,1849233.715,1849233.715,1849233.715
Senegal,Land area (sq. km),,,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530
Singapore,Land area (sq. km),,,670,670,670,670,670,670,670,670,670,670,670,670,675,687,689,689,694,695,700,700,702,704,706,707,709,709,709,709,709,709,709,709
Solomon Islands,Land area (sq. km),,,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990
Sierra Leone,Land area (sq. km),,,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180
El Salvador,Land area (sq. km),,,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720
San Marino,Land area (sq. km),,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Somalia,Land area (sq. km),,,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340
Serbia,Land area (sq. km),,,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460
Sub-Saharan Africa (excluding high income),Land area (sq. km),,,23823284.27,23823284.27,23823284.27,23722284.27,23722284.27,23722284.27,23722284.27,23722284.27,23722284.27,23722284.27,23722284.27,23722284.27,23722284.27,23722284.27,23851548.6,23851602.05,23851598.62,23851571.57,23851556.33,23851555.25,23852247.65,23852457.36,23852458.97,23852464.33,23852432.68,23852482.34,23852390.34,23852364.03,23852363.23,23852363.23,23852363.23,23852363.23
South Sudan,Land area (sq. km),,,,,,,,,,,,,,,,,,,,,,,,631978.41,631973.704,631972.755,631957.217,631957.218,631945.102,631944.08,631928.123,631928.123,631928.123,631928.123
Sub-Saharan Africa,Land area (sq. km),,,23823744.27,23823744.27,23823744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23852008.6,23852062.05,23852058.62,23852031.57,23852016.33,23852015.25,23852707.65,23852917.36,23852918.97,23852924.33,23852892.68,23852942.34,23852850.34,23852824.03,23852823.23,23852823.23,23852823.23,23852823.23
Small states,Land area (sq. km),,,2506944,2508284,2508304,2508304,2501381,2501381,2501381,2501381,2501381,2501381,2501381,2501381,2501381,2501391,2499718,2499728,2499728,2499738,2499748,2499748,2499750,2499755,2499758,2500838,2500719,2500726,2500754,2500755,2501331,2501331,2501331,2501331
Sao Tome and Principe,Land area (sq. km),,,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Suriname,Land area (sq. km),,,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000
Slovak Republic,Land area (sq. km),,,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48110,48100,48100,48100,48100,48100,48090,48091,48088,48088,48088,48080,48082,48080,48080,48080,48080,48080,48080
Slovenia,Land area (sq. km),,,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20146.2,20145.8,20146.2,20146,20145.7,20140,20140,20142.6,20142,20138.1,20136.4,20136.4,20136.4,20136.4
Sweden,Land area (sq. km),,,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,410340,407340,407340,407310,407310,407310,407310,407310,407310,407310,407310
Eswatini,Land area (sq. km),,,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200
Sint Maarten (Dutch part),Land area (sq. km),,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Seychelles,Land area (sq. km),,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Syrian Arab Republic,Land area (sq. km),,,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,183590,183570,183570,183630,183640,183640,183640,183630,183630,183630,183630,183630,183630,183630,183630,183630,183630,183630,183630
Turks and Caicos Islands,Land area (sq. km),,,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
Chad,Land area (sq. km),,,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200
East Asia & Pacific (IDA & IBRD countries),Land area (sq. km),,,15844350,15845690,15845690,15845690,15845690,15845740,15845730,15845730,15845730,15845730,15831290,15831320.2,15830780.2,15830299.7,15830180.5,15830119.8,15830230,15830280,15830070,15830060.5,15830020.7,15830050.9,15829910.9,15829841.3,15829841.3,15833536.8,15899484.9,15899195.2,15899196.9,15899196.9,15899196.9,15899196.9
Europe & Central Asia (IDA & IBRD countries),Land area (sq. km),,,23000614,23000724,23000724,22997034,22992224,22989244,22988924,22989614,22992119,22998942,22991762,22990861,22989685,22989749,22990189,22990267,22986624,22986276,22985384,22985379,22985443,22985525,22985375,22985394,22984919,23000119,23000133,23000146,22989284.3,22989284.3,22989284.3,22989284.3
Togo,Land area (sq. km),,,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390
Thailand,Land area (sq. km),,,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890
Tajikistan,Land area (sq. km),,,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,138786,138790,138790,138790,138790,138790,138790,138790
Turkmenistan,Land area (sq. km),,,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930
Latin America & the Caribbean (IDA & IBRD countries),Land area (sq. km),,,19942112,19942112,19942112,19942112,19942112,19942112,19942112,19942112,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913632,19913412,19913412,19913412,19913412,19913469,19913469,19913469,19913469
Timor-Leste,Land area (sq. km),,,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870
Middle East & North Africa (IDA & IBRD countries),Land area (sq. km),,,8637920,8637920,8637920,8637920,8637920,8637920,8637920,8637920,8637920,8637920,8637920,8637920,8637920,8637730,8637710,8637710,8637770,8637780,8637780,8635270,8635260,8635260,8635260,8635068,8635068,8635069,8635069,8635069,8635069,8635069,8635069,8635069
Tonga,Land area (sq. km),,,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720
South Asia (IDA & IBRD),Land area (sq. km),,,4779833,4779833,4779833,4779833,4772910,4772910,4772910,4772910,4772910,4772910,4773260,4773260,4773260,4773260,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4770760,4770787,4770787,4770754,4770754,4770754,4770754
Sub-Saharan Africa (IDA & IBRD countries),Land area (sq. km),,,23823744.27,23823744.27,23823744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23722744.27,23852008.6,23852062.05,23852058.62,23852031.57,23852016.33,23852015.25,23852707.65,23852917.36,23852918.97,23852924.33,23852892.68,23852942.34,23852850.34,23852824.03,23852823.23,23852823.23,23852823.23,23852823.23
Trinidad and Tobago,Land area (sq. km),,,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130
Tunisia,Land area (sq. km),,,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360
Turkiye,Land area (sq. km),,,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630
Tuvalu,Land area (sq. km),,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Tanzania,Land area (sq. km),,,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800
Uganda,Land area (sq. km),,,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,200520,200520,200520,200520,200520,200520,200520,200520,200520,200520,200520,200520
Ukraine,Land area (sq. km),,,579350,579350,579350,579350,579350,579350,579350,579350,579350,579350,579350,579350,579340,579340,579340,579380,579360,579330,579320,579320,579320,579320,579320,579320,579290,579290,579290,579300,579400,579400,579400,579400
Upper middle income,Land area (sq. km),,,53337124,53337764,53337764,53334074,53329214,53326304,53325874,53326554,53300589,53307402,53300102,53299201.2,53296865.2,53296908.7,53297169.5,53297256.8,53293634,53293416,53292544,53289889.5,53289963.7,53290398.9,53290194.9,53287593.3,53287462.3,53287547.4,53287503.5,53287267.8,53276360.2,53276360.2,53276360.2,53276360.2
Uruguay,Land area (sq. km),,,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020
United States,Land area (sq. km),,,9158960,9158960,9158960,9158960,9158960,9158960,9158960,9158960,9158960,9158960,9161920,9161920,9161920,9161920,9161920,9161920,9161920,9161920,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420
Uzbekistan,Land area (sq. km),,,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,425400,440591,440588,440587,440555,440555,440555,440555
St. Vincent and the Grenadines,Land area (sq. km),,,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
"Venezuela, RB",Land area (sq. km),,,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050
British Virgin Islands,Land area (sq. km),,,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Virgin Islands (U.S.),Land area (sq. km),,,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Vietnam,Land area (sq. km),,,325490,325490,325490,325490,325490,325490,325490,325490,325490,325490,311060,311090,310550,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070,310070
Vanuatu,Land area (sq. km),,,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190
World,Land area (sq. km),,,129852140.7,129854050.7,129854110.7,129749400.7,129737657.7,129734777.7,129734336.7,129803675.7,129777669.7,129784451.7,129765381.7,129764265.9,129762074.9,129761969.4,129889503.5,129889492.3,129885400.6,129885204.2,129869133.2,129867501.5,129869706.7,129870230.2,129864695.5,129863403.1,129862977.9,129880684.5,129956634.1,129956069.1,129949282.7,129949282.7,129949282.7,129949282.7
Samoa,Land area (sq. km),,,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
Kosovo,Land area (sq. km),,,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,,,,
"Yemen, Rep.",Land area (sq. km),,,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970
South Africa,Land area (sq. km),,,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090
Zambia,Land area (sq. km),,,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390
Zimbabwe,Land area (sq. km),,,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850
